Sentence text,Aspect text,Aspect position,Polarity,Position
judging from previous posts this used to be a good place but not any longer,place,"[10, 11]",negative,0
we there were four of us arrived at noon the place was empty and the staff acted like we were imposing on them and they were very rude,staff,"[15, 16]",negative,1
the food was lousy too sweet or too salty and the portions tiny,food,"[1, 2]",negative,2
the food was lousy too sweet or too salty and the portions tiny,portions,"[11, 12]",negative,3
avoid this place,place,"[2, 3]",negative,4
i have eaten at saul many times the food is always consistently outrageously good,food,"[8, 9]",positive,5
saul is the best restaurant on smith street and in brooklyn,saul,"[0, 1]",positive,6
the duck confit is always amazing and the foie gras terrine with figs was out of this world,foie gras terrine with figs,"[8, 13]",positive,7
the duck confit is always amazing and the foie gras terrine with figs was out of this world,duck confit,"[1, 3]",positive,8
the wine list is interesting and has many good values,wine list,"[1, 3]",positive,9
the wine list is interesting and has many good values,wine list,"[1, 3]",positive,10
i was very disappointed with this restaurant,restaurant,"[6, 7]",negative,11
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away,cart attendant,"[3, 5]",negative,12
food was okay nothing great,food,"[0, 1]",neutral,13
chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,chow fun,"[0, 2]",negative,14
chow fun was dry pork shu mai was more than usually greasy and had to share a table with loud and rude family,pork shu mai,"[4, 7]",negative,15
i we will never go back to this place again,place,"[8, 9]",negative,16
went on a 3 day oyster binge with fish bringing up the closing and i am so glad this was the place it o trip ended because it was so great,fish,"[8, 9]",positive,17
service was devine oysters where a sensual as they come and the price can t be beat,service,"[0, 1]",positive,18
service was devine oysters where a sensual as they come and the price can t be beat,oysters,"[3, 4]",positive,19
every time in new york i make it a point to visit restaurant saul on smith street,restaurant saul,"[12, 14]",positive,20
everything is always cooked to perfection the service is excellent the decor cool and understated,service,"[7, 8]",positive,21
everything is always cooked to perfection the service is excellent the decor cool and understated,decor,"[11, 12]",positive,22
i had the duck breast special on my last visit and it was incredible,duck breast special,"[3, 6]",positive,23
the food is very average the thai fusion stuff is a bit too sweet every thing they serve is too sweet here,food,"[1, 2]",negative,24
the food is very average the thai fusion stuff is a bit too sweet every thing they serve is too sweet here,thai fusion stuff,"[6, 9]",negative,25
the only thing i moderately enjoyed was their grilled chicken special with edamame puree,grilled chicken special with edamame puree,"[8, 14]",positive,26
i had never had edamame pureed before but i thought it was innovative and tasty could ve used a bit more salt,edamame pureed,"[4, 6]",positive,27
i had never had edamame pureed before but i thought it was innovative and tasty could ve used a bit more salt,edamame pureed,"[4, 6]",positive,28
the decor is night tho but they really need to clean that vent in the ceiling its quite un appetizing and kills your effort to make this place look sleek and modern,place,"[27, 28]",negative,29
the decor is night tho but they really need to clean that vent in the ceiling its quite un appetizing and kills your effort to make this place look sleek and modern,decor,"[1, 2]",positive,30
the decor is night tho but they really need to clean that vent in the ceiling its quite un appetizing and kills your effort to make this place look sleek and modern,vent,"[12, 13]",negative,31
their sake list was extensive but we were looking for purple haze which wasn t listed but made for us upon request,sake list,"[1, 3]",positive,32
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome great appetizer to share,spicy tuna roll,"[1, 4]",positive,33
the spicy tuna roll was unusually good and the rock shrimp tempura was awesome great appetizer to share,rock shrimp tempura,"[9, 12]",positive,34
we went around 9 30 on a friday and it had died down a bit by then so the service was great,service,"[19, 20]",positive,35
we love th pink pony,pink pony,"[3, 5]",positive,36
the perfect spot,spot,"[2, 3]",positive,37
food awesome,food,"[0, 1]",positive,38
service friendly and attentive,service,"[0, 1]",positive,39
